TRBV,TRBJ,count
TRBV18,TRBJ1-4,0
TRBV19,TRBJ1-4,0
TRBV2,TRBJ1-4,102
TRBV20-1,TRBJ1-4,23
TRBV21-1,TRBJ1-4,0
TRBV23-1,TRBJ1-4,0
TRBV24-1,TRBJ1-4,0
TRBV25-1,TRBJ1-4,37
TRBV27,TRBJ1-4,0
TRBV28,TRBJ1-4,1868
TRBV29-1,TRBJ1-4,36
TRBV3-1,TRBJ1-4,1
TRBV3-2,TRBJ1-4,0
TRBV30,TRBJ1-4,7
TRBV4-1,TRBJ1-4,444
TRBV4-2,TRBJ1-4,0
TRBV4-3,TRBJ1-4,11
TRBV5-1,TRBJ1-4,1310
TRBV5-3,TRBJ1-4,0
TRBV5-4,TRBJ1-4,969
TRBV5-5,TRBJ1-4,26
TRBV5-6,TRBJ1-4,0
TRBV5-8,TRBJ1-4,0
TRBV6-1,TRBJ1-4,0
TRBV6-2,TRBJ1-4,0
TRBV6-3,TRBJ1-4,4
TRBV6-4,TRBJ1-4,375
TRBV6-5,TRBJ1-4,1
TRBV6-6,TRBJ1-4,0
TRBV6-7,TRBJ1-4,0
TRBV6-9,TRBJ1-4,0
TRBV7-2,TRBJ1-4,0
TRBV7-3,TRBJ1-4,1
TRBV7-6,TRBJ1-4,184
TRBV7-7,TRBJ1-4,0
TRBV7-8,TRBJ1-4,0
TRBV7-9,TRBJ1-4,4969
TRBV9,TRBJ1-4,0
TRBV10-1,TRBJ1-5,0
TRBV10-2,TRBJ1-5,0
TRBV10-3,TRBJ1-5,0
TRBV11-1,TRBJ1-5,0
TRBV11-2,TRBJ1-5,0
TRBV11-3,TRBJ1-5,0
TRBV12-2,TRBJ1-5,0
TRBV12-3,TRBJ1-5,1608
TRBV12-4,TRBJ1-5,5
TRBV12-5,TRBJ1-5,7
TRBV13,TRBJ1-5,0
TRBV14,TRBJ1-5,0
TRBV15,TRBJ1-5,1293
TRBV16,TRBJ1-5,0
TRBV18,TRBJ1-5,9
TRBV19,TRBJ1-5,383
TRBV2,TRBJ1-5,175
TRBV20-1,TRBJ1-5,812
TRBV21-1,TRBJ1-5,53
TRBV23-1,TRBJ1-5,18
TRBV24-1,TRBJ1-5,0
TRBV25-1,TRBJ1-5,0
TRBV27,TRBJ1-5,66
TRBV28,TRBJ1-5,6524
TRBV29-1,TRBJ1-5,1
TRBV3-1,TRBJ1-5,11
TRBV3-2,TRBJ1-5,0
TRBV30,TRBJ1-5,16
TRBV4-1,TRBJ1-5,425
TRBV4-2,TRBJ1-5,198
TRBV4-3,TRBJ1-5,6
TRBV5-1,TRBJ1-5,524
TRBV5-3,TRBJ1-5,0
TRBV5-4,TRBJ1-5,0
TRBV5-5,TRBJ1-5,0
TRBV5-6,TRBJ1-5,0
TRBV5-8,TRBJ1-5,0
TRBV6-1,TRBJ1-5,88
TRBV6-2,TRBJ1-5,3
TRBV6-3,TRBJ1-5,26
TRBV6-4,TRBJ1-5,0
TRBV6-5,TRBJ1-5,0
TRBV6-6,TRBJ1-5,319
TRBV6-7,TRBJ1-5,0
TRBV6-9,TRBJ1-5,0
TRBV7-2,TRBJ1-5,12
TRBV7-3,TRBJ1-5,0
TRBV7-6,TRBJ1-5,498
TRBV7-7,TRBJ1-5,0
TRBV7-8,TRBJ1-5,158
TRBV7-9,TRBJ1-5,1
TRBV9,TRBJ1-5,1
TRBV10-1,TRBJ1-6,0
TRBV10-2,TRBJ1-6,48
TRBV10-3,TRBJ1-6,19
TRBV11-1,TRBJ1-6,0
TRBV11-2,TRBJ1-6,4
TRBV11-3,TRBJ1-6,0
TRBV12-2,TRBJ1-6,0
TRBV12-3,TRBJ1-6,1
TRBV12-4,TRBJ1-6,0
TRBV12-5,TRBJ1-6,0
TRBV13,TRBJ1-6,8
TRBV14,TRBJ1-6,0
TRBV15,TRBJ1-6,34
TRBV16,TRBJ1-6,1
TRBV18,TRBJ1-6,65
TRBV19,TRBJ1-6,0
TRBV2,TRBJ1-6,1760
TRBV20-1,TRBJ1-6,26
TRBV21-1,TRBJ1-6,0
TRBV23-1,TRBJ1-6,0
TRBV24-1,TRBJ1-6,0
TRBV25-1,TRBJ1-6,3
TRBV27,TRBJ1-6,309
TRBV28,TRBJ1-6,587
TRBV29-1,TRBJ1-6,1
TRBV3-1,TRBJ1-6,0
TRBV3-2,TRBJ1-6,0
TRBV30,TRBJ1-6,0
TRBV4-1,TRBJ1-6,18
TRBV4-2,TRBJ1-6,61
TRBV4-3,TRBJ1-6,283
TRBV5-1,TRBJ1-6,2
TRBV5-3,TRBJ1-6,0
TRBV5-4,TRBJ1-6,0
TRBV5-5,TRBJ1-6,0
TRBV5-6,TRBJ1-6,2
TRBV5-8,TRBJ1-6,0
TRBV6-1,TRBJ1-6,0
TRBV6-2,TRBJ1-6,0
TRBV6-3,TRBJ1-6,131
TRBV6-4,TRBJ1-6,0
TRBV6-5,TRBJ1-6,0
TRBV6-6,TRBJ1-6,0
TRBV6-7,TRBJ1-6,0
TRBV6-9,TRBJ1-6,0
TRBV7-2,TRBJ1-6,62
TRBV7-3,TRBJ1-6,34
TRBV7-6,TRBJ1-6,722
TRBV7-7,TRBJ1-6,0
TRBV7-8,TRBJ1-6,0
TRBV7-9,TRBJ1-6,767
TRBV9,TRBJ1-6,28
TRBV10-1,TRBJ2-1,7
TRBV10-2,TRBJ2-1,1549
TRBV10-3,TRBJ2-1,1773
TRBV11-1,TRBJ2-1,521
TRBV11-2,TRBJ2-1,1329
TRBV11-3,TRBJ2-1,19
TRBV12-2,TRBJ2-1,43
TRBV12-3,TRBJ2-1,126
TRBV12-4,TRBJ2-1,393
TRBV12-5,TRBJ2-1,4
TRBV13,TRBJ2-1,22239
TRBV14,TRBJ2-1,226
TRBV15,TRBJ2-1,58
TRBV16,TRBJ2-1,67
TRBV18,TRBJ2-1,359
TRBV19,TRBJ2-1,701
TRBV2,TRBJ2-1,1364
TRBV20-1,TRBJ2-1,4343
TRBV21-1,TRBJ2-1,38
TRBV23-1,TRBJ2-1,76
TRBV24-1,TRBJ2-1,6515
TRBV25-1,TRBJ2-1,91
TRBV27,TRBJ2-1,3935
TRBV28,TRBJ2-1,6066
TRBV29-1,TRBJ2-1,1481
TRBV3-1,TRBJ2-1,427
TRBV3-2,TRBJ2-1,0
TRBV30,TRBJ2-1,0
TRBV4-1,TRBJ2-1,1112
TRBV4-2,TRBJ2-1,44
TRBV4-3,TRBJ2-1,613
TRBV5-1,TRBJ2-1,416
TRBV5-3,TRBJ2-1,17
TRBV5-4,TRBJ2-1,81
TRBV5-5,TRBJ2-1,2069
TRBV5-6,TRBJ2-1,774
TRBV5-8,TRBJ2-1,0
TRBV6-1,TRBJ2-1,130
TRBV6-2,TRBJ2-1,2114
TRBV6-3,TRBJ2-1,98
TRBV6-4,TRBJ2-1,97
TRBV6-5,TRBJ2-1,196
TRBV6-6,TRBJ2-1,29
TRBV6-7,TRBJ2-1,0
TRBV6-9,TRBJ2-1,0
TRBV7-2,TRBJ2-1,499
TRBV7-3,TRBJ2-1,939
TRBV7-6,TRBJ2-1,0
TRBV7-7,TRBJ2-1,8
TRBV7-8,TRBJ2-1,4635
TRBV7-9,TRBJ2-1,2167
TRBV9,TRBJ2-1,2841
TRBV10-1,TRBJ2-2,0
TRBV10-2,TRBJ2-2,280
TRBV10-3,TRBJ2-2,664
TRBV11-1,TRBJ2-2,30
TRBV11-2,TRBJ2-2,0
TRBV11-3,TRBJ2-2,5
TRBV12-2,TRBJ2-2,6
TRBV12-3,TRBJ2-2,1
TRBV12-4,TRBJ2-2,513
TRBV12-5,TRBJ2-2,0
TRBV13,TRBJ2-2,0
TRBV14,TRBJ2-2,24
TRBV15,TRBJ2-2,118
TRBV16,TRBJ2-2,0
TRBV18,TRBJ2-2,31
TRBV19,TRBJ2-2,160
TRBV2,TRBJ2-2,196
TRBV20-1,TRBJ2-2,13160
TRBV21-1,TRBJ2-2,830
TRBV23-1,TRBJ2-2,5
TRBV24-1,TRBJ2-2,11
TRBV25-1,TRBJ2-2,0
TRBV27,TRBJ2-2,8029
TRBV28,TRBJ2-2,1079
TRBV29-1,TRBJ2-2,392
TRBV3-1,TRBJ2-2,1
TRBV3-2,TRBJ2-2,82
TRBV30,TRBJ2-2,1
TRBV4-1,TRBJ2-2,23
TRBV4-2,TRBJ2-2,1464
TRBV4-3,TRBJ2-2,213
TRBV5-1,TRBJ2-2,63
TRBV5-3,TRBJ2-2,0
TRBV5-4,TRBJ2-2,3
TRBV5-5,TRBJ2-2,677
TRBV5-6,TRBJ2-2,86
TRBV5-8,TRBJ2-2,0
TRBV6-1,TRBJ2-2,0
TRBV6-2,TRBJ2-2,150
TRBV6-3,TRBJ2-2,0
TRBV6-4,TRBJ2-2,49
TRBV6-5,TRBJ2-2,299
TRBV6-6,TRBJ2-2,13
TRBV6-7,TRBJ2-2,6
TRBV6-9,TRBJ2-2,0
TRBV7-2,TRBJ2-2,35
TRBV7-3,TRBJ2-2,342
TRBV7-6,TRBJ2-2,20
TRBV7-7,TRBJ2-2,340
TRBV7-8,TRBJ2-2,0
TRBV7-9,TRBJ2-2,543
TRBV9,TRBJ2-2,345
TRBV10-1,TRBJ2-3,2102
TRBV10-2,TRBJ2-3,602
TRBV10-3,TRBJ2-3,364
TRBV11-1,TRBJ2-3,0
TRBV11-2,TRBJ2-3,660
TRBV11-3,TRBJ2-3,67
TRBV12-2,TRBJ2-3,0
TRBV12-3,TRBJ2-3,249
TRBV12-4,TRBJ2-3,1304
TRBV12-5,TRBJ2-3,0
TRBV13,TRBJ2-3,484
TRBV14,TRBJ2-3,7
TRBV15,TRBJ2-3,61
TRBV16,TRBJ2-3,0
TRBV18,TRBJ2-3,9
TRBV19,TRBJ2-3,62
TRBV2,TRBJ2-3,322
TRBV20-1,TRBJ2-3,8899
TRBV21-1,TRBJ2-3,73
TRBV23-1,TRBJ2-3,0
TRBV24-1,TRBJ2-3,5
TRBV25-1,TRBJ2-3,29
TRBV27,TRBJ2-3,1438
TRBV28,TRBJ2-3,24731
TRBV29-1,TRBJ2-3,25984
TRBV3-1,TRBJ2-3,1024
TRBV3-2,TRBJ2-3,179
TRBV30,TRBJ2-3,578
TRBV4-1,TRBJ2-3,135
TRBV4-2,TRBJ2-3,28
TRBV4-3,TRBJ2-3,1353
TRBV5-1,TRBJ2-3,10456
TRBV5-3,TRBJ2-3,16
TRBV5-4,TRBJ2-3,52
TRBV5-5,TRBJ2-3,33
TRBV5-6,TRBJ2-3,6
TRBV5-8,TRBJ2-3,146
TRBV6-1,TRBJ2-3,265
TRBV6-2,TRBJ2-3,15
TRBV6-3,TRBJ2-3,9
TRBV6-4,TRBJ2-3,152
TRBV6-5,TRBJ2-3,102
TRBV6-6,TRBJ2-3,1
TRBV6-7,TRBJ2-3,0
TRBV6-9,TRBJ2-3,0
TRBV7-2,TRBJ2-3,175
TRBV7-3,TRBJ2-3,224
TRBV7-6,TRBJ2-3,171
TRBV7-7,TRBJ2-3,107
TRBV7-8,TRBJ2-3,78
TRBV7-9,TRBJ2-3,4422
TRBV9,TRBJ2-3,417
TRBV10-1,TRBJ2-4,0
TRBV10-2,TRBJ2-4,0
TRBV10-3,TRBJ2-4,88
TRBV11-1,TRBJ2-4,0
TRBV11-2,TRBJ2-4,222
TRBV11-3,TRBJ2-4,40
TRBV12-2,TRBJ2-4,0
TRBV12-3,TRBJ2-4,92
TRBV12-4,TRBJ2-4,0
TRBV12-5,TRBJ2-4,0
TRBV13,TRBJ2-4,1
TRBV14,TRBJ2-4,0
TRBV15,TRBJ2-4,0
TRBV16,TRBJ2-4,0
TRBV18,TRBJ2-4,0
TRBV19,TRBJ2-4,81
TRBV2,TRBJ2-4,1426
TRBV20-1,TRBJ2-4,53
TRBV21-1,TRBJ2-4,0
TRBV23-1,TRBJ2-4,2
TRBV24-1,TRBJ2-4,57
TRBV25-1,TRBJ2-4,0
TRBV27,TRBJ2-4,1
TRBV28,TRBJ2-4,173
TRBV29-1,TRBJ2-4,1
TRBV3-1,TRBJ2-4,26
TRBV3-2,TRBJ2-4,0
TRBV30,TRBJ2-4,0
TRBV4-1,TRBJ2-4,0
TRBV4-2,TRBJ2-4,0
TRBV4-3,TRBJ2-4,0
TRBV5-1,TRBJ2-4,42
TRBV5-3,TRBJ2-4,0
TRBV5-4,TRBJ2-4,21
TRBV5-5,TRBJ2-4,1
TRBV5-6,TRBJ2-4,0
TRBV5-8,TRBJ2-4,0
TRBV6-1,TRBJ2-4,140
TRBV6-2,TRBJ2-4,71
TRBV6-3,TRBJ2-4,0
