TRBV,TRBJ,count
TRBV5-4,TRBJ1-3,0
TRBV5-5,TRBJ1-3,197
TRBV5-6,TRBJ1-3,6
TRBV5-7,TRBJ1-3,0
TRBV5-8,TRBJ1-3,0
TRBV6-1,TRBJ1-3,63
TRBV6-2,TRBJ1-3,0
TRBV6-3,TRBJ1-3,0
TRBV6-4,TRBJ1-3,0
TRBV6-5,TRBJ1-3,3727
TRBV6-6,TRBJ1-3,435
TRBV6-7,TRBJ1-3,0
TRBV6-9,TRBJ1-3,0
TRBV7-2,TRBJ1-3,11
TRBV7-3,TRBJ1-3,0
TRBV7-4,TRBJ1-3,0
TRBV7-5,TRBJ1-3,0
TRBV7-6,TRBJ1-3,25
TRBV7-7,TRBJ1-3,0
TRBV7-8,TRBJ1-3,1
TRBV7-9,TRBJ1-3,10
TRBV9,TRBJ1-3,255
TRBV1,TRBJ1-4,0
TRBV10-1,TRBJ1-4,0
TRBV10-2,TRBJ1-4,0
TRBV10-3,TRBJ1-4,6
TRBV11-1,TRBJ1-4,0
TRBV11-2,TRBJ1-4,1
TRBV11-3,TRBJ1-4,0
TRBV12-1,TRBJ1-4,0
TRBV12-2,TRBJ1-4,1052
TRBV12-3,TRBJ1-4,177
TRBV12-4,TRBJ1-4,202
TRBV12-5,TRBJ1-4,22
TRBV13,TRBJ1-4,2
TRBV14,TRBJ1-4,10
TRBV15,TRBJ1-4,3
TRBV16,TRBJ1-4,0
TRBV18,TRBJ1-4,0
TRBV19,TRBJ1-4,20
TRBV2,TRBJ1-4,34
TRBV20-1,TRBJ1-4,57
TRBV21-1,TRBJ1-4,2
TRBV23-1,TRBJ1-4,0
TRBV24-1,TRBJ1-4,6
TRBV25-1,TRBJ1-4,7
TRBV27,TRBJ1-4,86
TRBV28,TRBJ1-4,136
TRBV29-1,TRBJ1-4,53
TRBV3-1,TRBJ1-4,0
TRBV3-2,TRBJ1-4,0
TRBV30,TRBJ1-4,0
TRBV4-1,TRBJ1-4,664
TRBV4-2,TRBJ1-4,13
TRBV4-3,TRBJ1-4,16
TRBV5-1,TRBJ1-4,4
TRBV5-3,TRBJ1-4,0
TRBV5-4,TRBJ1-4,0
TRBV5-5,TRBJ1-4,96
TRBV5-6,TRBJ1-4,0
TRBV5-7,TRBJ1-4,0
TRBV5-8,TRBJ1-4,0
TRBV6-1,TRBJ1-4,1
TRBV6-2,TRBJ1-4,1
TRBV6-3,TRBJ1-4,0
TRBV6-4,TRBJ1-4,8
TRBV6-5,TRBJ1-4,3
TRBV6-6,TRBJ1-4,1
TRBV6-7,TRBJ1-4,0
TRBV6-9,TRBJ1-4,0
TRBV7-2,TRBJ1-4,200
TRBV7-3,TRBJ1-4,0
TRBV7-4,TRBJ1-4,0
TRBV7-5,TRBJ1-4,0
TRBV7-6,TRBJ1-4,414
TRBV7-7,TRBJ1-4,0
TRBV7-8,TRBJ1-4,69
TRBV7-9,TRBJ1-4,208
TRBV9,TRBJ1-4,290
TRBV1,TRBJ1-5,0
TRBV10-1,TRBJ1-5,0
TRBV10-2,TRBJ1-5,2
TRBV10-3,TRBJ1-5,903
TRBV11-1,TRBJ1-5,0
TRBV11-2,TRBJ1-5,8
TRBV11-3,TRBJ1-5,0
TRBV12-1,TRBJ1-5,0
TRBV12-2,TRBJ1-5,0
TRBV12-3,TRBJ1-5,145
TRBV12-4,TRBJ1-5,50
TRBV12-5,TRBJ1-5,4
TRBV13,TRBJ1-5,0
TRBV14,TRBJ1-5,62
TRBV15,TRBJ1-5,34
TRBV16,TRBJ1-5,0
TRBV18,TRBJ1-5,2
TRBV19,TRBJ1-5,100
TRBV2,TRBJ1-5,9013
TRBV20-1,TRBJ1-5,638
TRBV21-1,TRBJ1-5,12
TRBV23-1,TRBJ1-5,10
TRBV24-1,TRBJ1-5,82
TRBV25-1,TRBJ1-5,52
TRBV27,TRBJ1-5,146
TRBV28,TRBJ1-5,2028
TRBV29-1,TRBJ1-5,150
TRBV3-1,TRBJ1-5,158
TRBV3-2,TRBJ1-5,0
TRBV30,TRBJ1-5,86
TRBV4-1,TRBJ1-5,229
TRBV4-2,TRBJ1-5,3390
TRBV4-3,TRBJ1-5,30
TRBV5-1,TRBJ1-5,18622
TRBV5-3,TRBJ1-5,0
TRBV5-4,TRBJ1-5,0
TRBV5-5,TRBJ1-5,93
TRBV5-6,TRBJ1-5,1
TRBV5-7,TRBJ1-5,0
TRBV5-8,TRBJ1-5,23
TRBV6-1,TRBJ1-5,12
TRBV6-2,TRBJ1-5,37
TRBV6-3,TRBJ1-5,51
TRBV6-4,TRBJ1-5,0
TRBV6-5,TRBJ1-5,146
TRBV6-6,TRBJ1-5,17
TRBV6-7,TRBJ1-5,0
TRBV6-9,TRBJ1-5,0
TRBV7-2,TRBJ1-5,104
TRBV7-3,TRBJ1-5,1
TRBV7-4,TRBJ1-5,0
TRBV7-5,TRBJ1-5,0
TRBV7-6,TRBJ1-5,3
TRBV7-7,TRBJ1-5,0
TRBV7-8,TRBJ1-5,21
TRBV7-9,TRBJ1-5,827
TRBV9,TRBJ1-5,531
TRBV1,TRBJ1-6,0
TRBV10-1,TRBJ1-6,0
TRBV10-2,TRBJ1-6,3
TRBV10-3,TRBJ1-6,0
TRBV11-1,TRBJ1-6,0
TRBV11-2,TRBJ1-6,29
TRBV11-3,TRBJ1-6,0
TRBV12-1,TRBJ1-6,0
TRBV12-2,TRBJ1-6,0
TRBV12-3,TRBJ1-6,0
TRBV12-4,TRBJ1-6,1
TRBV12-5,TRBJ1-6,0
TRBV13,TRBJ1-6,59
TRBV14,TRBJ1-6,19
TRBV15,TRBJ1-6,0
TRBV16,TRBJ1-6,0
TRBV18,TRBJ1-6,3
TRBV19,TRBJ1-6,7
TRBV2,TRBJ1-6,8
TRBV20-1,TRBJ1-6,503
TRBV21-1,TRBJ1-6,3
TRBV23-1,TRBJ1-6,0
TRBV24-1,TRBJ1-6,0
TRBV25-1,TRBJ1-6,0
