Volume,Group
3802,PBMC
2900,PBMC
4947,PBMC
4564,PBMC
8623,PBMC
3371,PBMC
4864,PBMC
1978,PBMC
43,PBMC
79,PBMC
4363,PBMC
2277,PBMC
4277,PBMC
235,Muscle
873,Muscle
126,Muscle
814,Muscle
140,Muscle
90,Muscle
