TRBV,TRBJ,count,Frequency,
TRBV11-2,TRBJ2-6,0,0,
TRBV11-3,TRBJ2-6,0,0,
TRBV12-2,TRBJ2-6,0,0,
TRBV12-3,TRBJ2-6,0,0,
TRBV12-4,TRBJ2-6,3,0.000779257,
TRBV12-5,TRBJ2-6,0,0,
TRBV13,TRBJ2-6,0,0,
TRBV14,TRBJ2-6,0,0,
TRBV15,TRBJ2-6,0,0,
TRBV16,TRBJ2-6,0,0,
TRBV18,TRBJ2-6,0,0,
TRBV19,TRBJ2-6,0,0,
TRBV2,TRBJ2-6,103,0.026754498,
TRBV20-1,TRBJ2-6,1,0.000259752,
TRBV21-1,TRBJ2-6,11,0.002857276,
TRBV23-1,TRBJ2-6,0,0,
TRBV24-1,TRBJ2-6,0,0,
TRBV25-1,TRBJ2-6,0,0,
TRBV27,TRBJ2-6,0,0,
TRBV28,TRBJ2-6,676,0.175592625,
TRBV29-1,TRBJ2-6,1,0.000259752,
TRBV3-1,TRBJ2-6,5,0.001298762,
TRBV3-2,TRBJ2-6,0,0,
TRBV30,TRBJ2-6,0,0,
TRBV4-1,TRBJ2-6,1,0.000259752,
TRBV4-2,TRBJ2-6,24,0.006234058,
TRBV4-3,TRBJ2-6,491,0.12753843,
TRBV5-1,TRBJ2-6,0,0,
TRBV5-3,TRBJ2-6,0,0,
TRBV5-4,TRBJ2-6,0,0,
TRBV5-5,TRBJ2-6,0,0,
TRBV5-6,TRBJ2-6,0,0,
TRBV5-8,TRBJ2-6,0,0,
TRBV6-1,TRBJ2-6,0,0,
TRBV6-2,TRBJ2-6,108,0.02805326,
TRBV6-3,TRBJ2-6,12,0.003117029,
TRBV6-4,TRBJ2-6,0,0,
TRBV6-5,TRBJ2-6,291,0.07558795,
TRBV6-6,TRBJ2-6,0,0,
TRBV6-7,TRBJ2-6,0,0,
TRBV6-9,TRBJ2-6,0,0,
TRBV7-2,TRBJ2-6,0,0,
TRBV7-3,TRBJ2-6,203,0.052729738,
TRBV7-6,TRBJ2-6,0,0,
TRBV7-7,TRBJ2-6,0,0,
TRBV7-8,TRBJ2-6,0,0,
TRBV7-9,TRBJ2-6,444,0.115330067,
TRBV9,TRBJ2-6,2,0.000519505,
TRBV10-1,TRBJ2-7,134,0.034806822,
TRBV10-2,TRBJ2-7,6982,1.813591285,
TRBV10-3,TRBJ2-7,3699,0.960824142,
TRBV11-1,TRBJ2-7,5,0.001298762,
TRBV11-2,TRBJ2-7,910,0.236374688,
TRBV11-3,TRBJ2-7,6,0.001558514,
TRBV12-2,TRBJ2-7,11,0.002857276,
TRBV12-3,TRBJ2-7,199,0.051690728,
TRBV12-4,TRBJ2-7,363,0.094290123,
TRBV12-5,TRBJ2-7,1168,0.303390808,
TRBV13,TRBJ2-7,1997,0.518725551,
TRBV14,TRBJ2-7,5555,1.442924604,
TRBV15,TRBJ2-7,188,0.048833452,
TRBV16,TRBJ2-7,0,0,
TRBV18,TRBJ2-7,130,0.033767813,
TRBV19,TRBJ2-7,1576,0.409369789,
TRBV2,TRBJ2-7,1857,0.482360214,
TRBV20-1,TRBJ2-7,4083,1.060569066,
TRBV21-1,TRBJ2-7,1842,0.478463928,
TRBV23-1,TRBJ2-7,15,0.003896286,
TRBV24-1,TRBJ2-7,2,0.000519505,
TRBV25-1,TRBJ2-7,1,0.000259752,
TRBV27,TRBJ2-7,6864,1.782940501,
TRBV28,TRBJ2-7,8961,2.327641292,
TRBV29-1,TRBJ2-7,200,0.051950481,
TRBV3-1,TRBJ2-7,1249,0.324430753,
TRBV3-2,TRBJ2-7,0,0,
TRBV30,TRBJ2-7,727,0.188839998,
TRBV4-1,TRBJ2-7,2919,0.758217267,
TRBV4-2,TRBJ2-7,439,0.114031305,
TRBV4-3,TRBJ2-7,463,0.120265363,
TRBV5-1,TRBJ2-7,1989,0.516647532,
TRBV5-3,TRBJ2-7,0,0,
TRBV5-4,TRBJ2-7,0,0,
TRBV5-5,TRBJ2-7,0,0,
TRBV5-6,TRBJ2-7,326,0.084679284,
TRBV5-8,TRBJ2-7,1,0.000259752,
TRBV6-1,TRBJ2-7,1434,0.372484947,
TRBV6-2,TRBJ2-7,999,0.259492652,
TRBV6-3,TRBJ2-7,36,0.009351087,
TRBV6-4,TRBJ2-7,2,0.000519505,
TRBV6-5,TRBJ2-7,4118,1.0696604,
TRBV6-6,TRBJ2-7,2138,0.55535064,
TRBV6-7,TRBJ2-7,0,0,
TRBV6-9,TRBJ2-7,0,0,
TRBV7-2,TRBJ2-7,118,0.030650784,
TRBV7-3,TRBJ2-7,209,0.054288252,
TRBV7-6,TRBJ2-7,163,0.042339642,
TRBV7-7,TRBJ2-7,93,0.024156974,
TRBV7-8,TRBJ2-7,118,0.030650784,
TRBV7-9,TRBJ2-7,936,0.24312825,
TRBV9,TRBJ2-7,3057,0.794063099,
