TRBV,TRBJ,count,Frequency,
TRBV12-4,TRBJ1-3,0,0,
TRBV12-5,TRBJ1-3,0,0,
TRBV13,TRBJ1-3,0,0,
TRBV14,TRBJ1-3,0,0,
TRBV15,TRBJ1-3,324,0.084159779,
TRBV16,TRBJ1-3,0,0,
TRBV18,TRBJ1-3,217,0.056366272,
TRBV19,TRBJ1-3,44,0.011429106,
TRBV2,TRBJ1-3,16,0.004156038,
TRBV20-1,TRBJ1-3,482,0.125200659,
TRBV21-1,TRBJ1-3,0,0,
TRBV23-1,TRBJ1-3,0,0,
TRBV24-1,TRBJ1-3,0,0,
TRBV25-1,TRBJ1-3,0,0,
TRBV27,TRBJ1-3,0,0,
TRBV28,TRBJ1-3,0,0,
TRBV29-1,TRBJ1-3,1,0.000259752,
TRBV3-1,TRBJ1-3,0,0,
TRBV3-2,TRBJ1-3,0,0,
TRBV30,TRBJ1-3,0,0,
TRBV4-1,TRBJ1-3,162,0.042079889,
TRBV4-2,TRBJ1-3,1,0.000259752,
TRBV4-3,TRBJ1-3,0,0,
TRBV5-1,TRBJ1-3,1,0.000259752,
TRBV5-3,TRBJ1-3,0,0,
TRBV5-4,TRBJ1-3,0,0,
TRBV5-5,TRBJ1-3,0,0,
TRBV5-6,TRBJ1-3,0,0,
TRBV5-8,TRBJ1-3,4,0.00103901,
TRBV6-1,TRBJ1-3,15,0.003896286,
TRBV6-2,TRBJ1-3,0,0,
TRBV6-3,TRBJ1-3,0,0,
TRBV6-4,TRBJ1-3,0,0,
TRBV6-5,TRBJ1-3,40,0.010390096,
TRBV6-6,TRBJ1-3,5,0.001298762,
TRBV6-7,TRBJ1-3,0,0,
TRBV6-9,TRBJ1-3,0,0,
TRBV7-2,TRBJ1-3,3,0.000779257,
TRBV7-3,TRBJ1-3,0,0,
TRBV7-6,TRBJ1-3,0,0,
TRBV7-7,TRBJ1-3,189,0.049093204,
TRBV7-8,TRBJ1-3,0,0,
TRBV7-9,TRBJ1-3,0,0,
TRBV9,TRBJ1-3,1,0.000259752,
TRBV10-1,TRBJ1-4,0,0,
TRBV10-2,TRBJ1-4,0,0,
TRBV10-3,TRBJ1-4,0,0,
TRBV11-1,TRBJ1-4,0,0,
TRBV11-2,TRBJ1-4,1,0.000259752,
TRBV11-3,TRBJ1-4,0,0,
TRBV12-2,TRBJ1-4,0,0,
TRBV12-3,TRBJ1-4,2,0.000519505,
TRBV12-4,TRBJ1-4,0,0,
TRBV12-5,TRBJ1-4,0,0,
TRBV13,TRBJ1-4,0,0,
TRBV14,TRBJ1-4,0,0,
TRBV15,TRBJ1-4,340,0.088315817,
TRBV16,TRBJ1-4,0,0,
TRBV18,TRBJ1-4,0,0,
TRBV19,TRBJ1-4,0,0,
TRBV2,TRBJ1-4,102,0.026494745,
TRBV20-1,TRBJ1-4,23,0.005974305,
TRBV21-1,TRBJ1-4,0,0,
TRBV23-1,TRBJ1-4,0,0,
TRBV24-1,TRBJ1-4,0,0,
TRBV25-1,TRBJ1-4,6,0.001558514,
TRBV27,TRBJ1-4,0,0,
TRBV28,TRBJ1-4,1817,0.471970118,
TRBV29-1,TRBJ1-4,36,0.009351087,
TRBV3-1,TRBJ1-4,1,0.000259752,
TRBV3-2,TRBJ1-4,0,0,
TRBV30,TRBJ1-4,7,0.001818267,
TRBV4-1,TRBJ1-4,444,0.115330067,
TRBV4-2,TRBJ1-4,0,0,
TRBV4-3,TRBJ1-4,11,0.002857276,
TRBV5-1,TRBJ1-4,1310,0.340275649,
